name,sector,years,funding,text
GetGlue,Information,8 (2008-2016),$24M,"company getglue. sector information. what they did social tv checkin app. why they failed closed 2016 twitter streaming outpaced sold off. lesson niche trends risky. causes: giants, competition, acquisition_stagnation, trend_shifts"
Gigya,Information,12 (2006-2018),$104.6M,"company gigya. sector information. what they did social login identity tools. why they failed ended 2018 sap acquisition lost to google login. lesson regs and giants choke. causes: giants, acquisition_stagnation, regulatory_pressure"
Gimlet,Information,7 (2014-2021),$28.5M,"company gimlet. sector information. what they did podcasting narrative shows. why they failed sold to spotify 2021 couldnt scale profitably. lesson contents costly. causes: acquisition_stagnation, monetization_failure"
Gowalla,Information,5 (2007-2012),$10.4M,"company gowalla. sector information. what they did locationbased social app. why they failed shut down 2012 lost to foursquare facebook acquired. lesson winners take all. causes: competition, acquisition_stagnation"
Grooveshark,Information,11 (2006-2017),$4.9M,"company grooveshark. sector information. what they did music streaming with uploads. why they failed shut down 2017 lawsuits over piracy lost to spotify. lesson legalitys key. causes: giants, competition, regulatory_pressure"
GroupMe,Information,5 (2010-2015),$11.5M,company groupme. sector information. what they did group messaging app. why they failed acquired 2011 faded 2015 stagnated under skype. lesson acquisition dead end. causes: acquisition_stagnation
HootSuite Media,Information,15 (2008-2023),$249.9M,"company hootsuite media. sector information. what they did social media management tool. why they failed scaled back 2023 lost to sprout social native tools. lesson cash cant outrun. causes: giants, competition"
Houseparty,Information,5 (2016-2021),$70M,"company houseparty. sector information. what they did group video chat app. why they failed shut down 2021 epic acquired lost to zoom. lesson peaks dont last. causes: giants, competition, acquisition_stagnation, trend_shifts"
Huddle,Information,12 (2006-2018),$89.2M,"company huddle. sector information. what they did cloud collaboration for teams. why they failed faded 2018 lost to slack teams sold off. lesson ecosystems win. causes: giants, competition, acquisition_stagnation"
Hulu Japan,Information,8 (2011-2019),$680M (Hulu),"company hulu japan. sector information. what they did streaming for japan. why they failed shut down 2019 sold to nippon tv lost to netflix. lesson local beats generic. causes: giants, competition"
IFTTT,Information,12 (2010-2022),$62.5M,"company ifttt. sector information. what they did automation connecting apps. why they failed scaled back 2022 free users didnt pay lost to zapier. lesson free can trap. causes: competition, monetization_failure"
Inkling,Information,11 (2009-2020),$48M,"company inkling. sector information. what they did digital publishing for ebooks. why they failed closed 2020 lost to kindle google books. lesson niche needs demand. causes: giants, competition"
Instagram Live,Information,5 (2016-2021),$57.5M (Instagram),"company instagram live. sector information. what they did livestreaming on instagram. why they failed phased out 2021 lost to tiktok meta shifted. lesson features can fade. causes: giants, competition"
Intercom,Information,12 (2011-2023),$240.8M,"company intercom. sector information. what they did customer messaging platform. why they failed startup phase shut down 2023 lost to zendesk. lesson giants catch up. causes: giants, competition"
Invision,Information,12 (2011-2023),$350M,"company invision. sector information. what they did design collaboration platform. why they failed scaled back 2023 lost to figma adobe. lesson better beats big. causes: giants, competition"
Jawbone,Information,18 (1999-2017),$930M,"company jawbone. sector information. what they did fitness trackers with data. why they failed shut down 2017 lost to fitbit buggy tech. lesson execution outranks cash. causes: giants, competition, execution_flaws"
Jetpac,Information,5 (2011-2016),$4.4M,"company jetpac. sector information. what they did ai travel recommendation app. why they failed closed 2016 google bought couldnt scale solo. lesson small can sell. causes: acquisition_stagnation, niche_limits"
Kik,Information,13 (2009-2022),$120.5M,"company kik. sector information. what they did messaging app for teens. why they failed shut down 2022 privacy scandals lost to whatsapp. lesson trust is king. causes: giants, competition, toxicity/trust_issues"
Knewton,Information,12 (2008-2020),$182.3M,"company knewton. sector information. what they did adaptive learning platform. why they failed sold 2020 overhyped ai lost to pearson. lesson prove the pudding. causes: competition, acquisition_stagnation, monetization_failure, overhype"
Mailbox,Information,3 (2012-2015),$5.3M,company mailbox. sector information. what they did sleek email app. why they failed shut down 2015 dropbox bought stagnated. lesson acquisition stalls. causes: acquisition_stagnation
Maker Media,Information,14 (2005-2019),$10M,"company maker media. sector information. what they did diy tech magazine and events. why they failed closed 2019 print declined events didnt cover costs. lesson passion doesnt pay. causes: no_budget, monetization_failure, trend_shifts"
Medium One,Information,6 (2014-2020),$3M,"company medium one. sector information. what they did iot data processing platform. why they failed shut down 2020 lost to aws iot low visibility. lesson giants dominate iot. causes: giants, competition"
Milk,Information,3 (2011-2014),$1.5M,"company milk. sector information. what they did mobile apps like oink. why they failed closed 2014 google bought oink flopped. lesson validate before build. causes: poor_market_fit, acquisition_stagnation"
Mixpanel,Information,14 (2009-2023),$277M,"company mixpanel. sector information. what they did user behavior analytics. why they failed startup phase shut down 2023 lost to amplitude. lesson lead or lose. causes: giants, competition"
Mobli,Information,7 (2010-2017),$86M,"company mobli. sector information. what they did photo and videosharing app. why they failed shut down 2017 lost to instagram. lesson stars dont guarantee. causes: giants, competition"
Music.ly,Information,4 (2014-2018),$16.1M,"company music.ly. sector information. what they did lipsync video app. why they failed merged into tiktok 2018 couldnt scale solo. lesson small fish swallowed. causes: giants, acquisition_stagnation"
MySpace,Information,15 (2003-2018),$12.8M,"company myspace. sector information. what they did social networking pioneer. why they failed faded 2018 lost to facebook news corp mismanaged. lesson ux trumps leads. causes: giants, competition, execution_flaws"
Netscape,Information,9 (1994-2003),$20M,company netscape. sector information. what they did first big web browser. why they failed shut down 2003 lost to microsoft ie. lesson titans tilt field. causes: giants
NewsTilt,Information,2 (2010-2012),$0.5M,"company newstilt. sector information. what they did platform for journalists. why they failed closed 2012 no journalists or readers misread need. lesson markets need sides. causes: no_budget, poor_market_fit"
Notion AI,Information,5 (2018-2023),$343M (Notion),company notion ai. sector information. what they did ai productivity feature. why they failed phased out 2023 didnt stand out. lesson features need identity. causes: competition
Nuzzel,Information,7 (2012-2019),$5.1M,"company nuzzel. sector information. what they did news curation via twitter. why they failed shut down 2019 scroll acquired lost to twitter. lesson platforms evolve. causes: giants, competition, acquisition_stagnation, platform_dependency"
Path,Information,8 (2010-2018),$59M,"company path. sector information. what they did private social network. why they failed closed 2018 niche privacy scandal. lesson privacys tightrope. causes: giants, competition, niche_limits, toxicity/trust_issues"
Periscope,Information,5 (2015-2020),$1.5M (Twitter $645M),"company periscope. sector information. what they did livestreaming app. why they failed shut down 2020 lost to instagram live. lesson trends shift platforms. causes: giants, competition, trend_shifts"
Photobucket,Information,15 (2003-2018),$15M,"company photobucket. sector information. what they did photohosting site. why they failed faded 2018 lost to instagram paywall backlash. lesson dont alienate base. causes: giants, competition, trend_shifts"
Pinterest UK,Information,8 (2012-2020),$1.5B (Pinterest),company pinterest uk. sector information. what they did ukspecific curation. why they failed phased out 2020 absorbed by global pinterest. lesson global trumps silos. causes: giants
Piston Cloud,Information,6 (2011-2017),$12.5M,"company piston cloud. sector information. what they did openstack cloud software. why they failed sold 2017 lost to aws openstack free. lesson free kills premium. causes: giants, competition, acquisition_stagnation"
Plex,Information,15 (2008-2023),$60M,"company plex. sector information. what they did media server streaming. why they failed startup phase shut down 2023 lost to netflix. lesson niche caps growth. causes: giants, competition, monetization_failure, niche_limits"
Pocket,Information,11 (2007-2018),$14.5M,"company pocket. sector information. what they did saveforlater app. why they failed acquired 2017 closed 2018 lost to evernote. lesson free limits scale. causes: competition, acquisition_stagnation, monetization_failure"
Pulse,Information,7 (2010-2017),$10M,"company pulse. sector information. what they did news reader app. why they failed sold to linkedin 2013 faded 2017 lost to flipboard. lesson buyers can bury. causes: competition, acquisition_stagnation"
Quibb,Information,6 (2013-2019),$0.75M,"company quibb. sector information. what they did professional networking links. why they failed shut down 2019 too niche lost to linkedin. lesson niche needs scale. causes: giants, no_budget, competition, niche_limits"
Quid,Information,12 (2008-2020),$79M,"company quid. sector information. what they did ai trend analytics. why they failed merged 2020 lost to google trends. lesson differentiations key. causes: giants, competition, acquisition_stagnation"
Quixey,Information,8 (2009-2017),$165M,"company quixey. sector information. what they did mobile app search engine. why they failed shut down 2017 lost to applegoogle search. lesson solve a real pain. causes: giants, trend_shifts, overhype"
Rap Genius,Information,11 (2009-2020),$56.8M,"company rap genius. sector information. what they did lyrics annotation site. why they failed pivoted 2020 couldnt monetize lost to spotify. lesson monetize or fade. causes: giants, competition, monetization_failure"
Readability,Information,6 (2009-2015),$1M,"company readability. sector information. what they did reading app with subscriptions. why they failed shut down 2015 lost to pockets free model. lesson free wins over paid. causes: competition, monetization_failure"
Refresh,Information,5 (2011-2016),$10M,"company refresh. sector information. what they did social crm app. why they failed acquired 2015 closed 2016 lost to linkedin. lesson big fish eat ideas. causes: giants, acquisition_stagnation"
RethinkDB,Information,10 (2009-2019),$12.2M,"company rethinkdb. sector information. what they did opensource database. why they failed shut down 2019 couldnt monetize lost to mongodb. lesson open source needs pay. causes: competition, monetization_failure"
Riffsy,Information,6 (2013-2019),$13M,"company riffsy. sector information. what they did gif search engine. why they failed acquired 2018 closed 2019 lost to gboard. lesson small gets scooped. causes: giants, acquisition_stagnation"
Rockmelt,Information,5 (2009-2014),$40M,"company rockmelt. sector information. what they did social browser. why they failed shut down 2014 lost to chrome yahoo bought. lesson simple beats quirky. causes: giants, competition, acquisition_stagnation"
Secret,Information,4 (2014-2018),$35M,"company secret. sector information. what they did anonymous social app. why they failed shut down 2018 toxicity scared users lost to whisper. lesson anonymitys messy. causes: competition, toxicity/trust_issues"
ShareThis,Information,13 (2007-2020),$64M,"company sharethis. sector information. what they did social sharing widget. why they failed faded 2020 lost to native sharing. lesson platforms steal thunder. causes: giants, platform_dependency"
Songza,Information,10 (2007-2017),$6.7M,"company songza. sector information. what they did moodbased music streaming. why they failed acquired 2014 closed 2017 lost to spotify. lesson small fries eaten. causes: giants, competition, acquisition_stagnation"
SoundCloud Go,Information,6 (2016-2022),$543M (SoundCloud),"company soundcloud go. sector information. what they did paid streaming tier. why they failed phased out 2022 free users didnt convert. lesson free roots deep. causes: giants, competition, monetization_failure"
Soundwave,Information,4 (2012-2016),$2.5M,"company soundwave. sector information. what they did social music tracking. why they failed shut down 2016 lost to spotify. lesson crowds beat cults. causes: giants, competition, niche_limits"
Spoke,Information,6 (2015-2021),$28M,"company spoke. sector information. what they did ai workplace chatbot. why they failed closed 2021 lost to slack bots. lesson giants gobble niches. causes: giants, competition"
Substack Local,Information,3 (2020-2023),$82.4M (Substack),"company substack local. sector information. what they did local newsletter funding. why they failed shut down 2023 costly low readership. lesson locals tough sell. causes: monetization_failure, niche_limits"
Tango,Information,11 (2009-2020),$367M,"company tango. sector information. what they did video chat with games. why they failed faded 2020 lost to zoom. lesson cash cant crowd out. causes: giants, competition"
Tasty Labs,Information,5 (2009-2014),$2.5M,company tasty labs. sector information. what they did social qa app. why they failed shut down 2014 didnt catch on. lesson pedigree isnt enough. causes: poor_market_fit
TinyChat,Information,9 (2009-2018),$1.5M,"company tinychat. sector information. what they did video chat rooms. why they failed faded 2018 lost to zoom. lesson basics beat quirky. causes: giants, competition"
Tinder Social,Information,5 (2016-2021),$50M (Tinder),"company tinder social. sector information. what they did group hangout feature. why they failed shut down 2021 confused users. lesson stick to your lane. causes: competition, poor_market_fit"
TokBox,Information,11 (2007-2018),$26M,"company tokbox. sector information. what they did video chat platform. why they failed acquired 2012 closed 2018 lost to zoom. lesson apis eat pioneers. causes: giants, competition, acquisition_stagnation"
Top Hat,Information,13 (2009-2022),$130.7M,"company top hat. sector information. what they did classroom engagement tools. why they failed startup phase shut down 2022 lost to google classroom. lesson niche edtech ceilings. causes: giants, competition, niche_limits"
Topix,Information,14 (2004-2018),$15M,"company topix. sector information. what they did local news aggregator. why they failed shut down 2018 lost to facebook. lesson social kills local. causes: giants, trend_shifts, toxicity/trust_issues"
Trello Gold,Information,5 (2017-2022),$10M (Trello),"company trello gold. sector information. what they did premium project management. why they failed phased out 2022 free sufficed. lesson free trumps upsell. causes: competition, monetization_failure"
Tumblr,Information,13 (2007-2020),$125M,"company tumblr. sector information. what they did microblogging platform. why they failed faded 2020 yahoo mismanaged porn ban. lesson mismanagement burns. causes: giants, execution_flaws"
Treehouse,Information,11 (2011-2022),$24.6M,"company treehouse. sector information. what they did online coding school. why they failed sold 2022 lost to free resources. lesson free eats paid. causes: giants, competition, acquisition_stagnation"
TuneIn Premium,Information,6 (2015-2021),$147.5M (TuneIn),"company tunein premium. sector information. what they did paid radio streaming. why they failed phased out 2021 free users didnt pay. lesson free roots stifle. causes: giants, competition, monetization_failure"
Twilio SendGrid,Information,8 (2015-2023),$80.9M (SendGrid),"company twilio sendgrid. sector information. what they did email api service. why they failed startup phase shut down 2023 lost to mailchimp. lesson giants crowd out. causes: giants, competition"
Twitter Fabric,Information,6 (2014-2020),$645M (Twitter),"company twitter fabric. sector information. what they did developer toolkit. why they failed shut down 2020 google bought parts. lesson focus drifts kill. causes: giants, competition, acquisition_stagnation"
Twitter Music,Information,2 (2013-2015),$645M (Twitter),"company twitter music. sector information. what they did music discovery app. why they failed shut down 2015 lost to spotify. lesson stick to core. causes: giants, competition"
Udacity Blitz,Information,5 (2017-2022),$163M (Udacity),company udacity blitz. sector information. what they did freelance gig platform. why they failed shut down 2022 lost to upwork. lesson extensions need traction. causes: competition
Vdio,Information,2 (2013-2015),$2M (Rdio $125M),"company vdio. sector information. what they did video streaming service. why they failed shut down 2015 lost to netflix. lesson timings everything. causes: giants, competition, trend_shifts"
Vine,Information,5 (2012-2017),$645M (Twitter),"company vine. sector information. what they did shortvideo app. why they failed shut down 2017 twitter neglected lost to snapchat. lesson neglect kills hits. causes: giants, competition, acquisition_stagnation"
VisiCalc,Information,5 (1979-1984),$0.5M,"company visicalc. sector information. what they did first spreadsheet software. why they failed faded 1984 lost to lotus 123. lesson innovate or die. causes: competition, trend_shifts"
Whisper,Information,8 (2012-2020),$61M,"company whisper. sector information. what they did anonymous social app. why they failed faded 2020 toxicity lost to snapchat. lesson anonymitys gamble. causes: giants, competition, toxicity/trust_issues"
WhoSay,Information,9 (2010-2019),$12M,"company whosay. sector information. what they did celeb social platform. why they failed shut down 2019 lost to x. lesson middlemen get cut. causes: giants, acquisition_stagnation"
Wickr,Information,8 (2012-2020),$73M,"company wickr. sector information. what they did secure messaging app. why they failed acquired 2020 closed as standalone lost to signal. lesson privacys crowded. causes: competition, acquisition_stagnation"
Wishbone,Information,6 (2013-2019),$8M,"company wishbone. sector information. what they did polling app for teens. why they failed faded 2019 lost to instagram stories. lesson fads burn out. causes: giants, competition, niche_limits, trend_shifts"
Woo,Information,5 (2013-2018),$1.5M,"company woo. sector information. what they did dating app for pros. why they failed closed 2018 lost to tinder. lesson giants rule dating. causes: giants, no_budget, competition"
Workable,Information,10 (2012-2022),$84M,company workable. sector information. what they did hr hiring software. why they failed startup phase shut down 2022 lost to lever. lesson scale or stall. causes: competition
Xmarks,Information,8 (2006-2014),$2M,"company xmarks. sector information. what they did bookmark sync tool. why they failed shut down 2014 lost to browser sync. lesson tech shifts bury. causes: giants, acquisition_stagnation, trend_shifts"
Xobni,Information,7 (2006-2013),$41.8M,"company xobni. sector information. what they did email plugin. why they failed acquired 2013 closed 2013 lost to gmail. lesson features swallow. causes: giants, acquisition_stagnation"
Yahoo Answers,Information,15 (2005-2020),$1B+ (Yahoo),"company yahoo answers. sector information. what they did qa platform. why they failed shut down 2020 spam lost to quora. lesson quality beats chaos. causes: competition, execution_flaws"
Yahoo Buzz,Information,4 (2008-2012),$1B+ (Yahoo),company yahoo buzz. sector information. what they did social news aggregator. why they failed closed 2012 lost to digg. lesson latecomers lose. causes: competition
Yahoo Groups,Information,15 (1998-2013),$1B+ (Yahoo),"company yahoo groups. sector information. what they did online community forums. why they failed shut down 2013 yahoo neglect. lesson neglect kills legacy. causes: giants, competition, execution_flaws"
Yahoo Live,Information,2 (2008-2010),$1B+ (Yahoo),"company yahoo live. sector information. what they did livestreaming platform. why they failed shut down 2010 low adoption. lesson timings critical. causes: poor_market_fit, trend_shifts"
Yammer,Information,10 (2008-2018),$142M,"company yammer. sector information. what they did enterprise social network. why they failed acquired 2012 closed 2018 lost to slack. lesson buyouts can bury. causes: giants, competition, acquisition_stagnation"
Yik Yak,Information,5 (2013-2018),$73.5M,"company yik yak. sector information. what they did anonymous local social app. why they failed shut down 2018 toxicity lost to snapchat. lesson anonymitys beast. causes: giants, competition, acquisition_stagnation, toxicity/trust_issues"
Yo,Information,4 (2014-2018),$1.5M,"company yo. sector information. what they did minimalist messaging app. why they failed faded 2018 novelty no depth. lesson gimmicks dont last. causes: no_budget, poor_market_fit, overhype"
Yola,Information,13 (2007-2020),$25M,"company yola. sector information. what they did website builder. why they failed faded 2020 lost to wix. lesson polish beats early. causes: giants, competition"
YouNow,Information,11 (2011-2022),$30M,"company younow. sector information. what they did livestreaming app. why they failed faded 2022 lost to twitch. lesson scale owns live. causes: giants, competition, acquisition_stagnation"
Zapier Plus,Information,5 (2018-2023),$1.4M (Zapier),"company zapier plus. sector information. what they did premium automation tier. why they failed phased out 2023 free sufficed. lesson free caps premium. causes: competition, monetization_failure"
Zencoder,Information,7 (2010-2017),$2M,company zencoder. sector information. what they did video encoding service. why they failed acquired 2012 closed 2017 lost to brightcove. lesson small exits fast. causes: acquisition_stagnation
Zendesk Chat,Information,8 (2015-2023),$85.5M (Zendesk),"company zendesk chat. sector information. what they did live chat tool. why they failed phased out 2023 lost to intercom. lesson features fade. causes: giants, competition"
Ziddu,Information,12 (2007-2019),$1M,"company ziddu. sector information. what they did filesharing platform. why they failed faded 2019 lost to dropbox. lesson free evolves fast. causes: giants, competition"
Zombie Labs,Information,5 (2015-2020),$1.5M,"company zombie labs. sector information. what they did zombiethemed mobile games. why they failed shut down 2020 lost to supercell. lesson giants crush niches. causes: giants, no_budget, competition, niche_limits"
Zoomdata,Information,9 (2012-2021),$47.2M,"company zoomdata. sector information. what they did data visualization tool. why they failed sold 2021 lost to tableau. lesson ecosystems win. causes: giants, competition, acquisition_stagnation"
Zopim,Information,8 (2008-2016),$3M,company zopim. sector information. what they did live chat widget. why they failed acquired 2014 closed 2016 lost to zendesk. lesson small sells. causes: acquisition_stagnation
Zscaler Shift,Information,5 (2018-2023),$33M (Zscaler),"company zscaler shift. sector information. what they did cloud security analytics. why they failed phased out 2023 lost to crowdstrike. lesson sidekicks fade. causes: giants, competition"
Zulily,Information,10 (2009-2019),$138M,"company zulily. sector information. what they did flash sales platform. why they failed sold 2019 lost to amazon. lesson deals die fast. causes: giants, competition, acquisition_stagnation, trend_shifts"
Zume,Information,7 (2015-2022),$375M,company zume. sector information. what they did predictive pizza analytics. why they failed shut down 2022 robots flopped. lesson tech needs results. causes: execution_flaws
Zumper Pro,Information,6 (2015-2021),$171M (Zumper),"company zumper pro. sector information. what they did rental listing premium. why they failed phased out 2021 free listings won. lesson free trumps tiers. causes: giants, competition, monetization_failure"
Zurb,Information,15 (1998-2013),$1M,"company zurb. sector information. what they did design prototyping tool. why they failed faded 2013 lost to figma. lesson old tools rust. causes: giants, competition"
Zuuka,Information,8 (2009-2017),$2.5M,"company zuuka. sector information. what they did digital kids storytelling. why they failed shut down 2017 lost to epic. lesson kids tech brutal. causes: giants, competition, niche_limits"
Zynga Games,Information,12 (2007-2019),$866M,"company zynga games. sector information. what they did social gaming giant. why they failed faded 2019 mobile shift sold 2022. lesson platforms shift. causes: giants, acquisition_stagnation, platform_dependency, trend_shifts"
Bitpass,Information,6 (2002-2008),$1.5M,"company bitpass. sector information. what they did micropayment platform. why they failed shut down 2008 friction lost to paypal. lesson friction kills. causes: giants, no_budget, competition"
Blync,Information,5 (2013-2018),$2M,"company blync. sector information. what they did social polling app. why they failed faded 2018 lost to instagram stories. lesson trends trump toys. causes: giants, competition, trend_shifts"
BountyJobs,Information,15 (2006-2021),$23.5M,"company bountyjobs. sector information. what they did recruitment marketplace. why they failed faded 2021 lost to linkedin. lesson scale beats middlemen. causes: giants, competition"
BranchOut,Information,7 (2010-2017),$49M,"company branchout. sector information. what they did linkedin on facebook. why they failed shut down 2017 lost to linkedin. lesson platforms dont mix. causes: giants, competition, platform_dependency"
Burstly,Information,6 (2008-2014),$7.3M,"company burstly. sector information. what they did mobile ad platform. why they failed acquired 2014 closed 2014 lost to apple. lesson buyouts can end. causes: giants, acquisition_stagnation"
CloudHammer,Information,5 (2007-2012),$1M,"company cloudhammer. sector information. what they did cloud management tool. why they failed shut down 2012 lost to aws. lesson giants rewrite rules. causes: giants, no_budget"
Crunchyroll,Information,15 (2006-2021),$4.05M,"company crunchyroll. sector information. what they did anime streaming platform. why they failed sold 2021 lost to netflix. lesson niches get nabbed. causes: giants, competition, acquisition_stagnation"
Curse,Information,14 (2006-2020),$58M,"company curse. sector information. what they did gaming community platform. why they failed acquired 2016 closed 2020 lost to discord. lesson newcomers steal. causes: giants, competition, acquisition_stagnation"
DailyBurn,Information,12 (2007-2019),$0.525M,"company dailyburn. sector information. what they did fitness video app. why they failed sold 2010 faded 2019 lost to fitbit. lesson tiny bets fade. causes: giants, no_budget, competition, acquisition_stagnation"
Dailylook,Information,9 (2011-2020),$3.5M,"company dailylook. sector information. what they did fashion subscription boxes. why they failed faded 2020 lost to stitch fix. lesson scale trumps style. causes: giants, competition"
Datto,Information,15 (2007-2022),$100M,"company datto. sector information. what they did backup and recovery software. why they failed sold 2022 lost to veeam. lesson giants catch up. causes: competition, acquisition_stagnation"
Deem,Information,14 (2000-2014),$100M,"company deem. sector information. what they did travel management platform. why they failed sold 2014 lost to concur. lesson old tech rusts. causes: giants, competition, acquisition_stagnation"
Detour,Information,6 (2013-2019),$3M,"company detour. sector information. what they did audio tour app. why they failed sold 2019 shut down lost to google maps. lesson free beats curated. causes: giants, competition, acquisition_stagnation"
Disruptive Media,Information,5 (2012-2017),$1M,"company disruptive media. sector information. what they did digital content platform. why they failed closed 2017 lost to medium. lesson giants own content. causes: giants, competition"
Divshot,Information,5 (2011-2016),$1.8M,"company divshot. sector information. what they did web hosting builder. why they failed acquired 2015 closed 2016 lost to netlify. lesson small exits quick. causes: giants, competition, acquisition_stagnation"
Drawbridge,Information,10 (2011-2021),$46.5M,"company drawbridge. sector information. what they did ad tech identity tracking. why they failed sold 2021 privacy regs lost to google. lesson regs reshape ads. causes: giants, competition, acquisition_stagnation, regulatory_pressure"
Dunwello,Information,5 (2013-2018),$1.2M,"company dunwello. sector information. what they did freelancer review platform. why they failed closed 2018 lost to upwork. lesson networks need mass. causes: giants, competition, niche_limits"
Everalbum,Information,6 (2013-2019),$2M,"company everalbum. sector information. what they did photo storage app. why they failed shut down 2019 lost to google photos. lesson giants own storage. causes: giants, competition"
Friend.ly,Information,3 (2010-2013),$1M,"company friend.ly. sector information. what they did social qa app. why they failed closed 2013 lost to x. lesson fads need legs. causes: giants, trend_shifts"
Frontback,Information,3 (2013-2016),$3M,"company frontback. sector information. what they did dualcamera photo app. why they failed shut down 2016 lost to instagram. lesson quirks dont scale. causes: giants, competition, niche_limits"
Froyo,Information,4 (2012-2016),$1.5M,"company froyo. sector information. what they did social gaming app. why they failed closed 2016 lost to candy crush. lesson hits beat casual. causes: giants, competition, niche_limits"
GoAnimate,Information,14 (2007-2021),$10M,"company goanimate. sector information. what they did diy animation tool. why they failed sold 2021 lost to powtoon. lesson scale beats tools. causes: giants, competition, acquisition_stagnation"
Hitpost,Information,4 (2009-2013),$1M,"company hitpost. sector information. what they did sports social app. why they failed closed 2013 lost to x. lesson giants own fandom. causes: giants, niche_limits"
Homer,Information,6 (2013-2019),$2.2M,"company homer. sector information. what they did kids reading app. why they failed sold 2019 lost to epic. lesson kids ed needs scale. causes: giants, competition, acquisition_stagnation"
Hot Potato,Information,2 (2009-2011),$1.4M,"company hot potato. sector information. what they did social checkin app. why they failed acquired 2011 shut down lost to foursquare. lesson early exits end. causes: competition, acquisition_stagnation"
Humanoid,Information,5 (2012-2017),$1M,"company humanoid. sector information. what they did content curation platform. why they failed closed 2017 lost to medium. lesson curation needs clout. causes: giants, competition"
